,,(6.82297526269e-11+0.000183402394865j),(-4.68056159809e-05+3.85267784935e-06j),(-2.17650215583e-05+4.26408315187e-06j),(-1.6415445943e-05+2.96862447182e-06j),(-1.30007222599e-05+1.81853598815e-06j),(-1.07623748941e-05+1.28368067969e-06j),(-9.34634911235e-06+9.89645115253e-07j),(-8.17405685315e-06+7.56909513697e-07j),(-7.24813546732e-06+5.37518047781e-07j),(-6.47029375103e-06+4.01286317835e-07j),(-5.91117420382e-06+3.09641863943e-07j),(-5.4565873586e-06+2.45569872666e-07j),(-5.10429514976e-06+2.69700954345e-07j),(-4.68508600106e-06+2.87657398161e-07j),(-4.25466191769e-06+2.62164575925e-07j),(-3.92744292728e-06+2.53176931128e-07j),(-3.65832167948e-06+2.49833418233e-07j),(-3.44784183323e-06+2.41857075267e-07j),(-3.30483421118e-06+1.95022004283e-07j),(-3.19086513394e-06+1.86106860407e-07j),(-3.00624353544e-06+1.59982650753e-07j),
,,(9.82126371961e-12+1.81088128348e-05j),(-8.12861074452e-06+1.40984258952e-05j),(-1.02886324476e-05+7.75109580809e-06j),(-8.72091225583e-06+3.37058819545e-06j),(-6.75325610116e-06+1.69898788434e-06j),(-5.46950081389e-06+1.21942253538e-06j),(-4.86403601606e-06+9.95622833399e-07j),(-4.2194066479e-06+7.05260540933e-07j),(-3.71959191041e-06+5.60962684508e-07j),(-3.39436740987e-06+4.83582729237e-07j),(-3.17707118434e-06+2.98346656509e-07j),(-2.88405448186e-06+1.10589739315e-07j),(-2.62467181485e-06+1.59898875917e-07j),(-2.43650600316e-06+2.61818269047e-07j),(-2.22537795181e-06+1.99353179498e-07j),(-2.08816297176e-06+1.13139880412e-07j),(-1.95403350697e-06+1.26277898682e-07j),(-1.83231925051e-06+1.37502587476e-07j),(-1.79202407658e-06+1.63678638867e-07j),(-1.74555830688e-06+1.20326311095e-07j),(-1.63110227203e-06+8.54636022054e-08j),
,,(8.45883223074e-12+9.16664203355e-06j),(-3.85934355921e-06+6.97655940339e-06j),(-4.61145151526e-06+4.32268872256e-06j),(-4.17438165067e-06+2.54282080598e-06j),(-3.70623532137e-06+1.6388697513e-06j),(-3.18698171494e-06+1.14622029594e-06j),(-2.95953081041e-06+9.27263615992e-07j),(-2.61188173645e-06+6.82908724759e-07j),(-2.32454639133e-06+4.95823216529e-07j),(-2.04482843796e-06+3.40244403701e-07j),(-1.86517176406e-06+2.42589654865e-07j),(-1.77245908117e-06+1.45127573324e-07j),(-1.67907431769e-06+1.5663092714e-07j),(-1.55003527532e-06+1.25766422763e-07j),(-1.34785154244e-06+8.78460066005e-08j),(-1.247514384e-06+5.19171079311e-08j),(-1.18687765496e-06+9.54482991062e-08j),(-1.13479670417e-06+7.69491280066e-08j),(-1.16882561647e-06+8.04153879143e-08j),(-1.15171500948e-06+6.26815366686e-08j),(-1.08928977491e-06+3.28647375148e-08j),
,,(8.2262993586e-11+0.000333208513278j),(-0.000120395892464+2.33823402738e-05j),(-5.45941760411e-05+4.01174718947e-06j),(-3.72659028433e-05+4.44105064566e-06j),(-2.9254133455e-05+2.60005071864e-06j),(-2.39488222521e-05+1.91718870565e-06j),(-2.038780677e-05+1.37829800887e-06j),(-1.76521760615e-05+9.16293918197e-07j),(-1.56010360621e-05+7.3881651852e-07j),(-1.38695484034e-05+5.07422395781e-07j),(-1.26054372509e-05+3.24795134028e-07j),(-1.15698726054e-05+1.52067973365e-07j),(-1.0653797734e-05+2.15074616563e-07j),(-9.86157810429e-06+2.12573809026e-07j),(-9.02379358206e-06+1.61915230881e-07j),(-8.39426381577e-06+9.62875289958e-08j),(-7.8711880735e-06+1.28018031291e-07j),(-7.42131567595e-06+1.06682460732e-07j),(-7.11018422761e-06+5.69418444085e-08j),(-6.81960466932e-06+4.92707579496e-08j),(-6.46288519395e-06-1.94990428628e-08j),
,,(7.80054259831e-12+9.11429713709e-06j),(-3.90320220842e-06+6.95489801377e-06j),(-4.68974199955e-06+4.25448987946e-06j),(-4.26800949137e-06+2.4880614601e-06j),(-3.79297391954e-06+1.59061772289e-06j),(-3.29330314717e-06+1.12996036619e-06j),(-3.04540690908e-06+9.23795292027e-07j),(-2.70924748579e-06+7.00727798369e-07j),(-2.43567209935e-06+5.09234123338e-07j),(-2.1345239523e-06+3.84276453333e-07j),(-1.94818904045e-06+2.8682567122e-07j),(-1.84745330364e-06+1.57424489795e-07j),(-1.77453508726e-06+1.91124113238e-07j),(-1.63846265214e-06+1.68424293026e-07j),(-1.403817292e-06+1.26533086658e-07j),(-1.30649929522e-06+8.94316250441e-08j),(-1.23480351664e-06+1.43741557158e-07j),(-1.19370386162e-06+1.36757402955e-07j),(-1.16888329033e-06+9.57478724937e-08j),(-1.17157036131e-06+8.7996348769e-08j),(-1.08956305166e-06+6.38329790804e-08j),
,,(3.03358825434e-11+0.000266514379073j),(-0.000111718252563+2.14845479954e-05j),(-5.50258098424e-05+5.10393002131e-06j),(-3.80642082091e-05+4.34911601169e-06j),(-2.91525637388e-05+4.41359173434e-06j),(-2.30238875743e-05+3.35418139431e-06j),(-1.90040797337e-05+2.59760591575e-06j),(-1.61439763601e-05+1.56257423117e-06j),(-1.43056712647e-05+7.4398821807e-07j),(-1.31250657858e-05+4.05362424417e-07j),(-1.20572332441e-05+4.17957436765e-07j),(-1.10689769549e-05+4.38862234184e-07j),(-1.02328207268e-05+5.64079548498e-07j),(-9.33036362861e-06+6.03638011684e-07j),(-8.40559489806e-06+4.78405980769e-07j),(-7.82977183794e-06+3.03378170117e-07j),(-7.36389166965e-06+2.93592120824e-07j),(-6.99893245906e-06+2.34676405457e-07j),(-6.74783236863e-06+2.08223638616e-07j),(-6.42015621868e-06+2.1051067934e-07j),(-6.06199615215e-06+1.57212308075e-07j),
,,(8.24048530567e-11+0.000226763915264j),(-4.78164724637e-05+7.70495706026e-06j),(-2.60931704764e-05+7.83324773028e-06j),(-1.99810131262e-05+4.82465906169e-06j),(-1.60263445093e-05+3.04651147951e-06j),(-1.32159320375e-05+2.05501358201e-06j),(-1.13891817532e-05+1.5626699857e-06j),(-9.94568675729e-06+1.1219940445e-06j),(-8.77765872335e-06+8.01903764256e-07j),(-7.81077963283e-06+5.64280661879e-07j),(-7.06553253409e-06+4.19184730958e-07j),(-6.53345473081e-06+2.78175825284e-07j),(-6.07998602348e-06+2.73301081105e-07j),(-5.61053812278e-06+2.15387148466e-07j),(-5.08023788482e-06+1.84251617981e-07j),(-4.73632835907e-06+1.20714366826e-07j),(-4.42211244054e-06+1.53994945506e-07j),(-4.20242133274e-06+1.20474835228e-07j),(-4.04459093011e-06+8.48496525319e-08j),(-3.90244959053e-06+5.73442469255e-08j),(-3.73495882819e-06+1.825019828e-08j),
,,(1.08637916409e-10+0.000293437760796j),(-6.08486044787e-05+9.45674280366e-07j),(-3.00584738015e-05+5.34852845284e-06j),(-2.23843456705e-05+3.46956279627e-06j),(-1.7749179744e-05+2.31540115256e-06j),(-1.46489130657e-05+1.54204064154e-06j),(-1.2625244148e-05+1.17799785673e-06j),(-1.09848190147e-05+7.90757971918e-07j),(-9.70938550267e-06+5.28464643177e-07j),(-8.62465244546e-06+3.12384407051e-07j),(-7.8234019488e-06+1.78314871498e-07j),(-7.2364106641e-06+4.65557015386e-09j),(-6.73934622669e-06+2.20303935832e-08j),(-6.2159241931e-06+9.89639276875e-09j),(-5.67240439927e-06-1.28687611862e-08j),(-5.26700906089e-06-8.21321800228e-08j),(-4.93822418283e-06-5.61157010979e-08j),(-4.68454151534e-06-9.34444588465e-08j),(-4.50224821294e-06-1.17513174226e-07j),(-4.34319906492e-06-1.4354516796e-07j),(-4.13975903914e-06-1.72036183546e-07j),
,,(1.3216823634e-10+0.000402145148781j),(-0.000104201818406+1.27706112496e-05j),(-4.81006916081e-05+4.59649304656e-06j),(-3.43066296027e-05+4.07145006195e-06j),(-2.66985277049e-05+2.75165206363e-06j),(-2.1870455637e-05+1.8748029737e-06j),(-1.86982762305e-05+1.40341538226e-06j),(-1.62681884602e-05+9.34321277367e-07j),(-1.43227094385e-05+6.43939530282e-07j),(-1.2772767685e-05+4.23630890693e-07j),(-1.15408767252e-05+2.62695032784e-07j),(-1.05834067945e-05+9.92175764146e-08j),(-9.79987980053e-06+1.07599089398e-07j),(-9.01468813912e-06+7.985741868e-08j),(-8.24456469116e-06+1.46289386856e-08j),(-7.67031754393e-06-5.95729084261e-08j),(-7.17512473407e-06-9.84702862665e-08j),(-6.78806327203e-06-1.22154518248e-07j),(-6.49650313522e-06-1.94713080685e-07j),(-6.22411946167e-06-2.57692605991e-07j),(-5.93519808951e-06-3.11588440779e-07j),
,,(1.66962682961e-10+0.000476640360309j),(-0.000114115104261+4.35947665203e-06j),(-5.17353685096e-05+3.5107345257e-06j),(-3.70994995275e-05+3.63621765914e-06j),(-2.86449449394e-05+2.42548882725e-06j),(-2.34494729485e-05+1.70142953741e-06j),(-1.99924982484e-05+1.24914345167e-06j),(-1.73597628642e-05+8.62142486169e-07j),(-1.52915740602e-05+5.55046626776e-07j),(-1.36023732897e-05+3.16557316266e-07j),(-1.23212315314e-05+1.3070312273e-07j),(-1.13282830857e-05-2.87761652707e-08j),(-1.05194732813e-05-1.22309030286e-08j),(-9.73865499058e-06-2.85169855561e-08j),(-8.909147361e-06-3.93789250781e-08j),(-8.31843430516e-06-9.05985680812e-08j),(-7.78343919848e-06-8.61303260943e-08j),(-7.36275875086e-06-9.65216934063e-08j),(-7.05822123874e-06-1.49906356797e-07j),(-6.73293736003e-06-1.83598798918e-07j),(-6.42846935308e-06-2.24111673653e-07j),
,,(1.52583240442e-10+0.000448794347716j),(-0.000115423101023+1.36926045043e-05j),(-5.31838046852e-05+3.60125863915e-06j),(-3.73741044137e-05+3.94340756806e-06j),(-2.90246048719e-05+2.63039021294e-06j),(-2.37511573928e-05+1.79372360088e-06j),(-2.02629255417e-05+1.31568797998e-06j),(-1.75772129218e-05+8.755560614e-07j),(-1.54803893391e-05+5.73014005141e-07j),(-1.3812678892e-05+3.26627173797e-07j),(-1.25230703964e-05+1.33142117611e-07j),(-1.15596939573e-05+1.84761968727e-09j),(-1.07020558681e-05+5.22278237047e-08j),(-9.88038073762e-06+3.71209209538e-08j),(-9.03937246034e-06+1.55220556528e-08j),(-8.39969262112e-06-2.7146591288e-08j),(-7.85618538411e-06-5.7898071177e-08j),(-7.42527702986e-06-7.46242182824e-08j),(-7.10257305848e-06-1.23403614764e-07j),(-6.79422623931e-06-1.71326862729e-07j),(-6.4673544721e-06-2.25125571839e-07j),
