,,(1.67080827602e-10+0.000517826654295j),(-0.000140946796993+2.05146821772e-05j),(-6.48071073585e-05+4.56051708222e-06j),(-4.49565912464e-05+5.05378690927e-06j),(-3.46797251846e-05+3.28396699698e-06j),(-2.82410636787e-05+2.31451871511e-06j),(-2.39742380871e-05+1.71216736764e-06j),(-2.07899679026e-05+1.22793985484e-06j),(-1.82807359038e-05+8.42116343664e-07j),(-1.62729469031e-05+5.96293346585e-07j),(-1.47407181437e-05+4.09573644617e-07j),(-1.35101719978e-05+2.35324485927e-07j),(-1.25072094145e-05+2.54826470581e-07j),(-1.15320203791e-05+2.13817897309e-07j),(-1.05832998322e-05+1.66331131792e-07j),(-9.84738563164e-06+1.0734893942e-07j),(-9.22821558116e-06+9.41735988e-08j),(-8.70964269912e-06+5.95540764803e-08j),(-8.31052210845e-06+1.97670606796e-08j),(-7.9410037504e-06-1.99678218267e-08j),(-7.56420397289e-06-5.30540265388e-08j),
,,(1.54184942004e-10+0.000480547237884j),(-0.000132342838395+2.22279507799e-05j),(-6.15902341604e-05+4.45853025836e-06j),(-4.28082017433e-05+4.62371474613e-06j),(-3.31451628202e-05+3.00705237945e-06j),(-2.69488888804e-05+2.06315864392e-06j),(-2.29481096999e-05+1.47559473921e-06j),(-1.98853788939e-05+1.01909646421e-06j),(-1.74664978083e-05+6.44036897929e-07j),(-1.55588622712e-05+3.98510729844e-07j),(-1.40633365639e-05+2.18161245944e-07j),(-1.28916850432e-05+3.16563892897e-08j),(-1.19510001533e-05+4.03641363711e-08j),(-1.10150728219e-05-1.24674706305e-08j),(-1.01133439804e-05-9.13218207941e-08j),(-9.44344435778e-06-1.63987637677e-07j),(-8.82352885039e-06-1.63929866126e-07j),(-8.39558563433e-06-2.08138474843e-07j),(-8.02123908196e-06-2.39879612871e-07j),(-7.65719319929e-06-2.63199216616e-07j),(-7.32086537873e-06-3.01486563065e-07j),
,,(1.46582277336e-10+0.00045749479519j),(-0.000125902899577+2.29309689894e-05j),(-5.8870463586e-05+4.13257588457e-06j),(-4.09807486023e-05+4.44666804246e-06j),(-3.17281943096e-05+2.86389700533e-06j),(-2.58612518804e-05+1.89121596805e-06j),(-2.2050787314e-05+1.35313277897e-06j),(-1.91361334018e-05+9.20459498724e-07j),(-1.68378200445e-05+5.61710617548e-07j),(-1.5016819008e-05+3.13850482352e-07j),(-1.36136384255e-05+1.4092017176e-07j),(-1.24824934196e-05+1.75739272667e-08j),(-1.15783417107e-05+4.59997805183e-08j),(-1.07001982292e-05+3.10919613093e-08j),(-9.78939745343e-06+1.42447776585e-08j),(-9.11064745658e-06-7.35095907955e-08j),(-8.50999228701e-06-8.48238169808e-08j),(-8.03764134755e-06-1.24182261132e-07j),(-7.70539180579e-06-1.91193251413e-07j),(-7.39609443886e-06-2.40998347266e-07j),(-7.05118705463e-06-2.80059070403e-07j),
,,(1.36908313883e-10+0.000427873862493j),(-0.00012113671517+2.36411731919e-05j),(-5.67157347738e-05+4.84805027159e-06j),(-3.9409415602e-05+4.70653335893e-06j),(-3.04838583424e-05+3.11760733754e-06j),(-2.48698321606e-05+2.18888828113e-06j),(-2.118036404e-05+1.67418420791e-06j),(-1.83634845348e-05+1.2114252064e-06j),(-1.61468116701e-05+8.74036949068e-07j),(-1.43998273072e-05+6.2682426853e-07j),(-1.3021479457e-05+4.514119353e-07j),(-1.19345919742e-05+3.08062141097e-07j),(-1.10459714422e-05+2.88954528119e-07j),(-1.01806430506e-05+2.87583012114e-07j),(-9.28114122677e-06+2.13577658891e-07j),(-8.63392518649e-06+1.6094811559e-07j),(-8.08105711298e-06+1.32274947762e-07j),(-7.60262928691e-06+8.61332075498e-08j),(-7.28602937901e-06+1.7102389388e-08j),(-6.99210427288e-06-3.4853543594e-08j),(-6.65457895795e-06-7.93426554736e-08j),
,,(1.29470744243e-10+0.000416489175594j),(-0.000121726532353+2.3666623121e-05j),(-5.66995091531e-05+4.91538515561e-06j),(-3.93391374142e-05+4.6073011942e-06j),(-3.04944972186e-05+2.97069206243e-06j),(-2.48788229741e-05+2.06089072626e-06j),(-2.11804541384e-05+1.52624388339e-06j),(-1.83426299858e-05+1.04090375979e-06j),(-1.61078037742e-05+7.0489711742e-07j),(-1.4353028236e-05+4.42453767613e-07j),(-1.29959399938e-05+2.5439554066e-07j),(-1.18942452458e-05+9.14422626987e-08j),(-1.10351747952e-05+1.16877042592e-07j),(-1.01688988536e-05+7.87335253163e-08j),(-9.30764891106e-06+1.41455256497e-08j),(-8.6668428505e-06-7.8199959629e-08j),(-8.12084376863e-06-1.04637832255e-07j),(-7.66253117227e-06-1.2957807401e-07j),(-7.36902267316e-06-2.10727241606e-07j),(-7.05977370735e-06-2.46144017662e-07j),(-6.74237406323e-06-2.92923927739e-07j),
,,(1.29108128891e-10+0.00039824995329j),(-0.000116317330369+2.21398068813e-05j),(-5.44211832589e-05+4.82202666293e-06j),(-3.76563191332e-05+4.62105216837e-06j),(-2.92079849183e-05+3.01773479636e-06j),(-2.38568998606e-05+2.1256303731e-06j),(-2.02900155566e-05+1.63087019379e-06j),(-1.76103601244e-05+1.14034836841e-06j),(-1.54670316991e-05+7.65057472841e-07j),(-1.37893211388e-05+5.55052154708e-07j),(-1.24664701605e-05+3.74341426466e-07j),(-1.14442434341e-05+2.15925851653e-07j),(-1.05903622796e-05+2.26916738234e-07j),(-9.75974930406e-06+1.89934877435e-07j),(-8.9440102606e-06+1.58203339172e-07j),(-8.31382497598e-06+7.95481689167e-08j),(-7.78853688032e-06+8.67416902444e-08j),(-7.33109521342e-06+3.70953712518e-08j),(-7.04804376779e-06-1.74130559642e-09j),(-6.74832161383e-06-8.05961701404e-08j),(-6.39442968988e-06-1.15070498827e-07j),
,,(1.20037189668e-10+0.000382931748223j),(-0.000112540631091+2.17695048743e-05j),(-5.27664095654e-05+4.98194562004e-06j),(-3.66760238044e-05+4.46969292828e-06j),(-2.85080399802e-05+2.88189546199e-06j),(-2.32794169288e-05+1.98331300706e-06j),(-1.98292293557e-05+1.49478204149e-06j),(-1.71784127529e-05+1.04559635622e-06j),(-1.51236078162e-05+7.15559696109e-07j),(-1.35013567712e-05+5.12862228074e-07j),(-1.22380643899e-05+3.30846157082e-07j),(-1.12278838201e-05+2.02873239747e-07j),(-1.03948532246e-05+2.30924600186e-07j),(-9.57478205257e-06+2.20038959672e-07j),(-8.75158567933e-06+2.14919300295e-07j),(-8.11568799607e-06+1.17688467541e-07j),(-7.61046553552e-06+1.05052304254e-07j),(-7.1575790022e-06+6.63242120018e-08j),(-6.8950346234e-06-1.4310601577e-08j),(-6.56656225673e-06-3.83962023834e-08j),(-6.24303023364e-06-8.39591104789e-08j),
,,(1.18246289745e-10+0.000375058010677j),(-0.000110118632301+2.15382444974e-05j),(-5.19242878194e-05+5.05365313467e-06j),(-3.61147202526e-05+4.39467139988e-06j),(-2.80680596019e-05+2.85069569094e-06j),(-2.29119129432e-05+2.01418940624e-06j),(-1.9508368973e-05+1.51149831016e-06j),(-1.68879896254e-05+1.05696241521e-06j),(-1.48354276559e-05+7.10304815788e-07j),(-1.32162063722e-05+4.99808501945e-07j),(-1.19319806499e-05+2.52908819036e-07j),(-1.09699978133e-05+1.25863604753e-07j),(-1.01561221885e-05+9.52901059117e-08j),(-9.38631374928e-06+6.74610992091e-08j),(-8.60928257448e-06+1.66888602685e-08j),(-7.98788628469e-06-5.77330397544e-08j),(-7.4797514179e-06-6.28144478765e-08j),(-7.09397725041e-06-9.85941554558e-08j),(-6.82211347944e-06-1.35528421725e-07j),(-6.52411839496e-06-1.53272973165e-07j),(-6.21839175992e-06-1.8077483621e-07j),
,,(1.1377588635e-10+0.000363187654372j),(-0.000108204029397+2.20050646847e-05j),(-5.10993865341e-05+5.20921204964e-06j),(-3.55295302224e-05+4.45443016372e-06j),(-2.76268548057e-05+2.89780875475e-06j),(-2.25513428604e-05+2.00603892614e-06j),(-1.9201324848e-05+1.50593416456e-06j),(-1.66452961851e-05+1.06167558869e-06j),(-1.46706542951e-05+7.1616344205e-07j),(-1.30673359676e-05+4.82764143685e-07j),(-1.18259769748e-05+3.17089794783e-07j),(-1.0869097665e-05+1.91919930831e-07j),(-1.01081952275e-05+2.13654604194e-07j),(-9.29311915982e-06+1.98787838796e-07j),(-8.47259509086e-06+1.88469677443e-07j),(-7.84243508417e-06+1.06210201538e-07j),(-7.32080549737e-06+8.48419010925e-08j),(-6.9185582628e-06+3.87062617139e-08j),(-6.61036215375e-06-2.73649925546e-08j),(-6.32463330605e-06-9.67947715256e-08j),(-6.01341388888e-06-1.24638518972e-07j),
,,(1.11901357394e-10+0.000357450454564j),(-0.000106935602418+2.22277074361e-05j),(-5.04251748998e-05+5.37859176377e-06j),(-3.50958331859e-05+4.55567981614e-06j),(-2.72851209652e-05+3.03092022288e-06j),(-2.22596000301e-05+2.12680110527e-06j),(-1.89690100693e-05+1.61450188388e-06j),(-1.64368804464e-05+1.16029794251e-06j),(-1.44856777579e-05+8.44653676473e-07j),(-1.28685519395e-05+5.90606475475e-07j),(-1.16687933932e-05+4.41221176887e-07j),(-1.06951141244e-05+2.72766550539e-07j),(-9.90119279417e-06+2.90612733584e-07j),(-9.16078296728e-06+2.66135213992e-07j),(-8.36390134287e-06+2.26931569513e-07j),(-7.79565250375e-06+1.74445966172e-07j),(-7.28933756031e-06+1.58086319494e-07j),(-6.90194652801e-06+1.46751912084e-07j),(-6.60567169052e-06+9.43983953218e-08j),(-6.30787127923e-06+7.57137326885e-08j),(-5.98286956921e-06+3.78634003796e-08j),
,,(1.12916766045e-10+0.000348750069496j),(-0.000105176618719+2.22095193452e-05j),(-4.96368795445e-05+5.31931662306e-06j),(-3.45609049894e-05+4.39612227363e-06j),(-2.68961508213e-05+2.85811134785e-06j),(-2.19778296796e-05+1.95400705015e-06j),(-1.87141313943e-05+1.49361015e-06j),(-1.62279224088e-05+9.89255672722e-07j),(-1.43007020036e-05+6.94683235838e-07j),(-1.27220043757e-05+4.38413523846e-07j),(-1.15251787754e-05+2.57787766981e-07j),(-1.05937163726e-05+1.66771037165e-07j),(-9.81545417299e-06+1.52351543186e-07j),(-9.04242837547e-06+1.47692807469e-07j),(-8.27585124756e-06+9.81540126652e-08j),(-7.71366622457e-06+4.58030334149e-08j),(-7.22273881646e-06+3.23334319393e-08j),(-6.79287656457e-06-1.05446772649e-09j),(-6.4984887047e-06-4.68057375624e-08j),(-6.23087317959e-06-8.51420765728e-08j),(-5.91861607095e-06-1.26656334917e-07j),
