,,(2.90592907023e-11+7.75114058446e-05j),(-3.39705282131e-05+1.23947004865e-05j),(-1.62188819464e-05+4.41226489062e-06j),(-1.20055744261e-05+3.04332961582e-06j),(-9.65771128149e-06+2.02083153346e-06j),(-8.01143073946e-06+1.43750286181e-06j),(-6.9998873902e-06+1.16966924823e-06j),(-6.13507892052e-06+8.96534412651e-07j),(-5.39281236258e-06+7.0488005322e-07j),(-4.80336645061e-06+5.41524736767e-07j),(-4.34858278851e-06+4.46995612446e-07j),(-4.02627089871e-06+3.876774693e-07j),(-3.7584352613e-06+3.80048814501e-07j),(-3.43277494072e-06+3.72103096912e-07j),(-3.03290447689e-06+2.84510434969e-07j),(-2.80121608267e-06+2.42196792342e-07j),(-2.68609413994e-06+2.33142209524e-07j),(-2.54842837417e-06+2.06644043607e-07j),(-2.51459204908e-06+2.11387525096e-07j),(-2.44959953157e-06+2.07473261464e-07j),(-2.29127822932e-06+1.78542657609e-07j),
,,(2.59017895328e-11+7.78167432645e-05j),(-3.4089561352e-05+1.22626851802e-05j),(-1.62010788298e-05+4.29358221791e-06j),(-1.20144645299e-05+2.93982336571e-06j),(-9.66157947227e-06+1.86521813111e-06j),(-7.98750829901e-06+1.24887310062e-06j),(-6.97565686346e-06+9.92189158501e-07j),(-6.12382209781e-06+7.06180010825e-07j),(-5.40666725356e-06+4.67055794305e-07j),(-4.8464219687e-06+3.20346451027e-07j),(-4.41128189441e-06+2.5227063646e-07j),(-4.12215696484e-06+1.50748519899e-07j),(-3.87110063353e-06+1.93608402546e-07j),(-3.55836624377e-06+1.73570555326e-07j),(-3.16842154435e-06+1.62109682233e-07j),(-2.9619691737e-06+1.34321893848e-07j),(-2.75613336369e-06+1.39217018385e-07j),(-2.61731078928e-06+1.42489063037e-07j),(-2.55041473517e-06+1.27476616951e-07j),(-2.45435639776e-06+1.07553886491e-07j),(-2.31614342318e-06+4.45487750636e-08j),
,,(2.54802288446e-11+7.80996253531e-05j),(-3.42308306699e-05+1.22337055219e-05j),(-1.62745014166e-05+4.32141879479e-06j),(-1.2042227327e-05+2.98198203779e-06j),(-9.68610891696e-06+1.93900945517e-06j),(-8.01279974471e-06+1.32773013686e-06j),(-6.9837854997e-06+1.05813133195e-06j),(-6.11010761465e-06+7.79765280874e-07j),(-5.3825873826e-06+5.32829609568e-07j),(-4.81051786435e-06+3.78369239494e-07j),(-4.38944436383e-06+2.64821569388e-07j),(-4.10854182001e-06+1.81050017787e-07j),(-3.83993099802e-06+2.29355477751e-07j),(-3.53431211993e-06+2.48910385047e-07j),(-3.15943492307e-06+2.00499519214e-07j),(-2.90815909446e-06+1.76806797439e-07j),(-2.72744808987e-06+2.14128141041e-07j),(-2.56833057686e-06+2.15622046977e-07j),(-2.49253049733e-06+1.56874260408e-07j),(-2.36960222118e-06+1.35249326493e-07j),(-2.25613514321e-06+7.90178472648e-08j),
,,(2.44630374826e-11+7.8433362452e-05j),(-3.43520110733e-05+1.22178541027e-05j),(-1.62733751189e-05+4.32927639843e-06j),(-1.2100245116e-05+2.98117140449e-06j),(-9.71400783884e-06+1.93708552296e-06j),(-8.05913254169e-06+1.34930190327e-06j),(-7.04362275749e-06+1.09979186737e-06j),(-6.16246984468e-06+8.33112241851e-07j),(-5.44871584818e-06+6.14970169068e-07j),(-4.83152777002e-06+4.60577984877e-07j),(-4.4148857849e-06+3.75091496662e-07j),(-4.0591959622e-06+2.92255525812e-07j),(-3.81852719462e-06+3.10088286615e-07j),(-3.49250724878e-06+2.90174026849e-07j),(-3.08621289782e-06+2.28670985446e-07j),(-2.90951093154e-06+1.76943825956e-07j),(-2.72566319882e-06+2.0973439893e-07j),(-2.57974355153e-06+1.9167454063e-07j),(-2.53358612943e-06+1.78767538293e-07j),(-2.41897028151e-06+1.63495204361e-07j),(-2.33784185663e-06+1.25721685375e-07j),
,,(2.41753781932e-11+7.8653494353e-05j),(-3.44627653558e-05+1.22030993487e-05j),(-1.63321306619e-05+4.32562181636e-06j),(-1.21475672586e-05+3.00136655635e-06j),(-9.75265862292e-06+1.94953651736e-06j),(-8.09117067754e-06+1.37097949503e-06j),(-7.05492794025e-06+1.10508890545e-06j),(-6.16197789345e-06+8.48782987713e-07j),(-5.44867708004e-06+6.4905020886e-07j),(-4.85988376693e-06+4.61966408738e-07j),(-4.42250689882e-06+3.92566331786e-07j),(-4.10018334904e-06+3.21871471068e-07j),(-3.82707215583e-06+3.51333482902e-07j),(-3.49571172516e-06+3.31225917723e-07j),(-3.10262653507e-06+2.86450214596e-07j),(-2.85690669384e-06+2.51465979946e-07j),(-2.6863355079e-06+2.59075891601e-07j),(-2.53616992311e-06+2.1714845513e-07j),(-2.46305925829e-06+1.75942961268e-07j),(-2.40127210039e-06+1.74718597381e-07j),(-2.27124958695e-06+1.17721331002e-07j),
,,(2.89402227303e-11+7.85505175568e-05j),(-3.45775103085e-05+1.20197240399e-05j),(-1.63621642166e-05+4.14652901309e-06j),(-1.21718008672e-05+2.81519192221e-06j),(-9.80211643371e-06+1.77425824625e-06j),(-8.15196222373e-06+1.23125121275e-06j),(-7.12951899505e-06+9.61673015268e-07j),(-6.24380935602e-06+7.15484241331e-07j),(-5.50822550662e-06+5.1360252809e-07j),(-4.92043354313e-06+3.73821824072e-07j),(-4.47173004045e-06+2.72122752978e-07j),(-4.12398691665e-06+1.97529460921e-07j),(-3.87937476133e-06+2.28240166306e-07j),(-3.53832675379e-06+1.90417658725e-07j),(-3.16178120245e-06+1.41927917079e-07j),(-2.95736570584e-06+7.84210224e-08j),(-2.76429077126e-06+1.01331951813e-07j),(-2.62695408318e-06+9.03466279518e-08j),(-2.57426604124e-06+4.30636232576e-08j),(-2.52554283662e-06+5.14280131951e-08j),(-2.400865364e-06+1.22767615404e-08j),
,,(2.63094285027e-11+7.88880278373e-05j),(-3.46219729365e-05+1.21501305838e-05j),(-1.63255089507e-05+4.27863601918e-06j),(-1.21413926752e-05+2.95408846623e-06j),(-9.74584500616e-06+1.90434679356e-06j),(-8.08074617233e-06+1.33348408357e-06j),(-7.01640758987e-06+1.10011440401e-06j),(-6.10766217662e-06+8.0299545404e-07j),(-5.37931698211e-06+5.59764269836e-07j),(-4.78823705077e-06+3.70821172954e-07j),(-4.33389791121e-06+2.49686647244e-07j),(-4.00769954019e-06+1.53754198745e-07j),(-3.7539441094e-06+1.56330262341e-07j),(-3.45001344869e-06+1.21992629954e-07j),(-3.0858979237e-06+7.64651736008e-08j),(-2.89001824364e-06+3.43078634419e-08j),(-2.7451885604e-06+5.48403174762e-08j),(-2.61766780411e-06+4.5153154066e-08j),(-2.54255054657e-06+4.01259630586e-08j),(-2.45863982672e-06+1.20872808056e-08j),(-2.35335773052e-06+6.83038394968e-09j),
,,(2.82569568724e-11+7.90303390144e-05j),(-3.46842209837e-05+1.21679443146e-05j),(-1.63277378095e-05+4.3012835678e-06j),(-1.21288768374e-05+2.96963161456e-06j),(-9.75069374648e-06+1.88661934255e-06j),(-8.08577011311e-06+1.29172766658e-06j),(-7.05342343699e-06+1.03702255345e-06j),(-6.16148149122e-06+7.5262262783e-07j),(-5.43261416584e-06+5.39905360789e-07j),(-4.86036541088e-06+3.68272615954e-07j),(-4.42015843898e-06+2.67858110119e-07j),(-4.12463387314e-06+1.89215339037e-07j),(-3.84810364149e-06+2.18904634811e-07j),(-3.51964764705e-06+2.0589680886e-07j),(-3.15203435598e-06+1.9459915188e-07j),(-2.93167244972e-06+1.44944588896e-07j),(-2.72501453547e-06+1.59567222145e-07j),(-2.57862107139e-06+1.52826212468e-07j),(-2.50537876188e-06+1.16354178415e-07j),(-2.43321995453e-06+1.00948747324e-07j),(-2.30908299388e-06+2.86254155237e-08j),
,,(2.49211507923e-11+7.90938370214e-05j),(-3.47584292567e-05+1.20506807534e-05j),(-1.63369868697e-05+4.20723660857e-06j),(-1.21645208311e-05+2.85253603442e-06j),(-9.79929879181e-06+1.80020993829e-06j),(-8.13765878157e-06+1.21781082385e-06j),(-7.10467942585e-06+9.74961116108e-07j),(-6.22999268599e-06+7.3523530904e-07j),(-5.51610787544e-06+5.11107628496e-07j),(-4.90052248715e-06+3.54380967695e-07j),(-4.44702683849e-06+2.8124321366e-07j),(-4.13088577191e-06+1.72080879474e-07j),(-3.85913932818e-06+1.90994006687e-07j),(-3.57560309153e-06+1.8324364181e-07j),(-3.17948727544e-06+1.28052506617e-07j),(-2.97482909421e-06+1.0717453505e-07j),(-2.79283565804e-06+1.50070758206e-07j),(-2.63069821813e-06+1.23492493809e-07j),(-2.57041813455e-06+9.42935669572e-08j),(-2.50334139886e-06+8.67024207342e-08j),(-2.38115503851e-06+6.49193818731e-08j),
,,(2.78434505767e-11+7.94466633278e-05j),(-3.48026472886e-05+1.22467868378e-05j),(-1.63391458935e-05+4.42830114543e-06j),(-1.21713440323e-05+3.0737413393e-06j),(-9.75214245616e-06+2.0164595757e-06j),(-8.09835530601e-06+1.42907211242e-06j),(-7.07045853325e-06+1.18119767471e-06j),(-6.17340944161e-06+8.98388048095e-07j),(-5.44540569202e-06+6.92086310433e-07j),(-4.8295344753e-06+5.68106989756e-07j),(-4.37137187386e-06+4.75542301967e-07j),(-4.04403621189e-06+3.50334835516e-07j),(-3.7832225414e-06+3.79113542722e-07j),(-3.46837289513e-06+3.22447743656e-07j),(-3.0983158175e-06+2.89430836633e-07j),(-2.87560517189e-06+2.17899593654e-07j),(-2.69273140222e-06+2.65322394733e-07j),(-2.56477075436e-06+2.52090223008e-07j),(-2.49165834918e-06+2.18431158932e-07j),(-2.39925447384e-06+2.20117970761e-07j),(-2.27353087148e-06+1.77127213688e-07j),
,,(2.7295832098e-11+7.97189992469e-05j),(-3.48413865058e-05+1.23829726199e-05j),(-1.6341322125e-05+4.5451706406e-06j),(-1.21246698958e-05+3.2035508991e-06j),(-9.75154732556e-06+2.13212117989e-06j),(-8.04210340277e-06+1.55086824185e-06j),(-7.00972126147e-06+1.28149219569e-06j),(-6.11745947245e-06+1.00533923835e-06j),(-5.38447950331e-06+7.98468027207e-07j),(-4.77514546987e-06+6.44552566448e-07j),(-4.32412084498e-06+5.33044412677e-07j),(-3.9972706799e-06+4.39534215801e-07j),(-3.7624186291e-06+4.72722979082e-07j),(-3.43417229963e-06+4.53878154073e-07j),(-3.04023322611e-06+4.02054780968e-07j),(-2.79919609915e-06+3.27576785373e-07j),(-2.61695703846e-06+3.54482520801e-07j),(-2.49251857607e-06+3.44901843e-07j),(-2.41613653042e-06+3.0384397343e-07j),(-2.31451046342e-06+2.76415201573e-07j),(-2.18140067854e-06+2.64335025977e-07j),
