Franz Aepinus
Ralf Altmeyer
Hermann Anschutz-Kaempfe
Ludwig Aschoff
Richard Baerwald
Adolf von Baeyer
Martin Beneke
Roland Benz
Friedrich Bergius
Ernest Beutler
Peter Beyer
Heinrich Ernst Beyrich
Wilhelm von Bezold
William Blandowski
Paul Richard Heinrich Blasius
Jens Blauert
Max Bodenstein
Harald von Boehmer
Armin von Bogdandy
Friedrich Boie
Max Born
Carl Bosch
Johann Friedrich von Brandt
Magnus von Braun
Wernher von Braun
Ernst Wilhelm von Brucke
Franz Ernst Bruckmann
Ernst Buchner
Robert Bunsen
Friedrich Burmeister
Abraham Buschke
Adolf Butenandt
Karin Buttner-Janz
Jean Cabanis
Sethus Calvisius
Franz Ludwig von Cancrin
Joseph Carlebach
Ernst Boris Chain
Otto Detlev Creutzfeldt
Rudolf Criegee
Theodor Curtius
Daniel Dahm
Max Delbruck
Otto Diels
Gerhard Domagk
Nikolai Eberhardt
Christian Gottfried Ehrenberg
Paul Ehrlich
Manfred Eigen
Albert Einstein
Bernhard Eitel
Paul Erman
Johann Christian Polycarp Erxleben
Adam Karl August von Eschenmayer
Andreas von Ettingshausen
Leonhard Euler
Horst Feistel
Peter Finke
Hermann Emil Fischer
Salomon Franck
Joseph Fraunhofer
Reinhard Furrer
Carl Friedrich Gauss
Johannes Gehrke
Hanns Bruno Geinitz
Christian Ludwig Gersten
Friederich Golz
Albrecht von Graefe
Arnold Graffi
Peter Griess
Fritz Haber
Heinz Haber
Otto Hahn
Willy Hartner
Hartmut Heinrich
Wilhelm Heinrich Heintz
Jochen Heisenberg
Martin Heisenberg
Werner Heisenberg
Jozsef Karoly Hell
Maximilian Hell
Gustav Hellmann
Hermann von Helmholtz
Friedrich Gustav Jakob Henle
Johann Friedrich Wilhelm Herbst
Gustav Herglotz
Grete Hermann
Richard Hesse
Johann Hessel
Franz Hillenkamp
Diederich Hinrichsen
Fritz Hofmann
Robert Hubner
Alexander von Humboldt
Klaus Hurrelmann
Engelbert Kaempfer
Elisabeth Kalko
Franz Josef Kallmann
Immanuel Kant
Michael Karas
Friedrich August Kekule von Stradonitz
Oskar Kellner
Wolfgang von Kempelen
Johannes Kepler
Franz Kessler
Uwe Kils
Athanasius Kircher
Gustav Kirchhoff
Siegfried Knemeyer
August Kohler
Georges Kohler
Heinz Kohnen
Joseph Gottlieb Kolreuter
Ralph von Konigswald
Wladimir Koppen
Wilhelm Korner
Ulrich Kortz
Max Kramer
Christian Ferdinand Friedrich Krauss
Stefan Krauter
Bernt Krebs
Herbert Kronke
Adolph Kussmaul
Heinrich Lamm
Rolf Landauer
Gunther Landgraf
Dieter Langbein
Grigori Ivanovitch Langsdorff
Karl Christian von Langsdorf
Rudiger Lautmann
Gottfried Leibniz
Walter Liebenthal
Justus von Liebig
Rainer Liedtke
Herbert Lochs
Adolf Loewy
Johann von Lowenstern-Kunckel
Niklas Luhmann
Hermann Lux
Michael Maestlin
Herbert Matare
Kurt Mendelssohn
Friedrich Sigmund Merkel
Daniel Gottlieb Messerschmidt
Helmut Metzner
Viktor Meyer
Hermann Minkowski
Achim Muller
Johannes Peter Muller
Salomon Muller
Hermann von Nathusius
Heinrich Edmund Naumann
Rudolf Nebel
Hans Neugebauer
Georg von Neumayer
Bernd Noack
Hugo Obermaier
Heinrich Olbers
Volker Oppitz
Theodor Peckolt
Richard Friedrich Johannes Pfeiffer
Max Planck
Johannes Plendl
Kurt Plotner
Julius Plucker
Ingo Potrykus
Ernst Pringsheim
Wolfgang Prinz
Karl Ramsayer
Eberhard Rees
Jens Reich
Ralf Reski
Berthold Ribbentrop
Ronald Richter
Ferdinand von Richthofen
Nikolaus Riehl
Walter Rogowski
Ludwig Roth
Arthur Rudolph
Hans Sachs
Kazem Sadegh-Zadeh
Karl Ludwig Fridolin von Sandberger
Monika Schafer-Korting
Valentin Scheidel
Harald Schering
Claus Schilling
Hermann Schlegel
Gotthilf Heinrich von Schubert
Ulrich Schubert
Karl Schwarzschild
Gerhard Schwehm
Johann Salomo Christoph Schweigger
Walter Seelmann-Eggebert
Johann Andreas Segner
Meinolf Sellmann
Friedrich Sellow
Johann Silberschlag
Eduard Simon
Samuel Thomas von Sommerring
Frank Steglich
Karl Stetter
Erwin Stresemann
Michael Succow
Reinhard Suring
Kurt Tank
Bernhard Tessmann
Gottfried Reinhold Treviranus
Ida Valeton
Rudolf Virchow
Hans Vogel
Gerhard Vollmer
Peter Wagner
Albert Walenta
Otto Heinrich Warburg
Alfred Wegener
Friedrich Wegener
Arthur Wehnelt
Heinrich Welker
Guenter Wendt
Gregor Wentzel
Richard Wilhelm
Hans Winkler
Johannes Winkler
Friedrich Wohler
Nathanael Matthaeus von Wolf
Theodor Wolf
Rudiger Wolfrum
Johann Zahn
Torsten Zuberbier
Konrad Zuse
Eberhard Zwicker

























































